time,o,h,l,c,volume,complete
2020-01-01 23:00:00,7142.7,7163.3,7135.7,7158.6,1268,True
2020-01-02 00:00:00,7158.0,7168.4,7143.9,7166.4,694,True
2020-01-02 01:00:00,7165.9,7167.1,7141.5,7147.1,739,True
2020-01-02 02:00:00,7146.6,7146.6,7108.5,7122.4,920,True
2020-01-02 03:00:00,7121.8,7121.8,7078.5,7081.5,1163,True
2020-01-02 04:00:00,7081.0,7112.3,7068.8,7093.3,1529,True
2020-01-02 05:00:00,7092.6,7105.6,7082.6,7091.3,1008,True
2020-01-02 06:00:00,7091.8,7101.0,7072.8,7086.4,814,True
2020-01-02 07:00:00,7086.8,7095.3,7054.6,7060.1,1846,True
2020-01-02 08:00:00,7059.6,7108.6,7058.8,7106.1,1713,True
2020-01-02 09:00:00,7106.6,7117.2,7088.4,7114.6,1118,True
2020-01-02 10:00:00,7115.1,7138.6,7111.7,7117.4,1233,True
2020-01-02 11:00:00,7116.8,7124.8,7098.4,7099.0,767,True
2020-01-02 12:00:00,7098.5,7124.3,7098.0,7116.3,933,True
2020-01-02 13:00:00,7117.0,7120.6,7061.3,7090.9,1508,True
2020-01-02 14:00:00,7091.3,7119.7,7080.4,7095.8,1251,True
2020-01-02 15:00:00,7096.3,7113.6,7079.2,7092.0,900,True
2020-01-02 16:00:00,7090.6,7109.7,6991.5,7006.3,3072,True
2020-01-02 17:00:00,7006.8,7006.8,6883.8,6929.6,4505,True
2020-01-02 18:00:00,6929.2,6949.6,6909.6,6936.9,1099,True
2020-01-02 19:00:00,6937.5,6957.6,6921.9,6945.6,1256,True
2020-01-02 20:00:00,6946.1,6946.8,6906.7,6911.5,978,True
2020-01-02 21:00:00,6911.0,6949.8,6909.7,6939.2,563,True
2020-01-02 22:00:00,6938.4,6939.9,6926.6,6935.7,691,True
2020-01-02 23:00:00,6934.9,6939.3,6917.8,6928.1,999,True
2020-01-03 00:00:00,6927.5,6928.5,6885.6,6901.4,930,True
2020-01-03 01:00:00,6900.8,6909.4,6846.3,6853.2,1031,True
2020-01-03 02:00:00,6852.7,6927.1,6838.4,6922.7,1359,True
2020-01-03 03:00:00,6922.2,6928.1,6906.6,6917.6,371,True
2020-01-03 04:00:00,6918.1,7257.3,6915.8,7175.4,8180,True
2020-01-03 05:00:00,7174.5,7224.3,7135.0,7187.2,2489,True
2020-01-03 06:00:00,7187.6,7190.3,7160.7,7172.9,1196,True
2020-01-03 07:00:00,7173.3,7202.1,7156.4,7169.1,1228,True
2020-01-03 08:00:00,7169.7,7265.1,7169.7,7236.8,2278,True
2020-01-03 09:00:00,7237.3,7328.2,7233.1,7319.3,3101,True
2020-01-03 10:00:00,7319.8,7345.6,7256.0,7282.5,3173,True
2020-01-03 11:00:00,7281.9,7318.8,7276.0,7312.1,1606,True
2020-01-03 12:00:00,7312.7,7321.5,7276.1,7297.8,1580,True
2020-01-03 13:00:00,7298.5,7352.9,7288.7,7322.0,1264,True
2020-01-03 14:00:00,7321.5,7331.1,7210.1,7230.1,2639,True
2020-01-03 15:00:00,7230.9,7297.6,7230.9,7296.1,991,True
2020-01-03 16:00:00,7296.7,7383.9,7271.4,7368.2,3823,True
2020-01-03 17:00:00,7367.7,7383.8,7314.5,7336.9,2153,True
2020-01-03 18:00:00,7337.3,7346.4,7310.4,7319.1,1431,True
2020-01-03 19:00:00,7318.4,7326.9,7258.9,7314.6,1857,True
2020-01-03 20:00:00,7315.1,7333.7,7276.0,7292.6,1528,True
2020-01-03 21:00:00,7291.4,7309.8,7244.4,7255.1,1416,True
2020-01-05 23:00:00,7335.0,7339.5,7298.6,7332.9,1322,True
2020-01-06 00:00:00,7332.2,7359.0,7325.2,7356.7,1286,True
2020-01-06 01:00:00,7356.2,7400.5,7345.9,7397.7,1392,True
2020-01-06 02:00:00,7396.8,7544.6,7390.4,7531.3,3614,True
2020-01-06 03:00:00,7531.8,7562.7,7469.5,7518.6,2778,True
2020-01-06 04:00:00,7519.2,7532.6,7496.9,7509.0,961,True
2020-01-06 05:00:00,7509.5,7516.9,7477.7,7508.5,953,True
2020-01-06 06:00:00,7509.2,7511.6,7487.5,7492.8,520,True
2020-01-06 07:00:00,7494.1,7502.0,7483.4,7484.0,618,True
2020-01-06 08:00:00,7484.5,7529.4,7484.5,7523.0,888,True
2020-01-06 09:00:00,7523.5,7530.3,7490.7,7527.6,1135,True
2020-01-06 10:00:00,7528.3,7550.7,7511.2,7537.8,967,True
2020-01-06 11:00:00,7537.4,7556.5,7501.5,7517.1,1340,True
2020-01-06 12:00:00,7516.1,7541.1,7510.9,7536.6,846,True
2020-01-06 13:00:00,7537.1,7591.0,7466.5,7505.2,2514,True
2020-01-06 14:00:00,7505.7,7535.3,7484.2,7523.3,1893,True
2020-01-06 15:00:00,7522.6,7528.4,7499.2,7499.2,920,True
2020-01-06 16:00:00,7498.7,7525.4,7489.1,7505.3,1004,True
2020-01-06 17:00:00,7504.9,7539.4,7503.6,7536.7,902,True
2020-01-06 18:00:00,7537.4,7538.3,7505.5,7510.7,713,True
2020-01-06 19:00:00,7511.1,7529.6,7502.0,7518.9,615,True
2020-01-06 20:00:00,7518.1,7536.4,7514.4,7530.0,536,True
2020-01-06 21:00:00,7529.5,7590.3,7528.1,7558.6,1372,True
2020-01-06 22:00:00,7559.2,7748.0,7559.2,7695.4,5482,True
2020-01-06 23:00:00,7696.7,7791.1,7690.5,7746.3,3662,True
2020-01-07 00:00:00,7746.8,7986.4,7746.8,7872.3,6278,True
2020-01-07 01:00:00,7873.1,7912.3,7853.4,7888.9,2426,True
2020-01-07 02:00:00,7889.7,7925.4,7880.8,7883.4,1884,True
2020-01-07 03:00:00,7882.9,7907.4,7875.2,7880.6,1193,True
2020-01-07 04:00:00,7880.2,7888.3,7805.5,7827.3,1727,True
2020-01-07 05:00:00,7826.8,7862.3,7820.3,7856.1,1182,True
2020-01-07 06:00:00,7856.6,7858.4,7842.7,7853.7,774,True
2020-01-07 07:00:00,7854.6,7870.0,7842.5,7863.3,1138,True
2020-01-07 08:00:00,7862.7,7881.3,7850.4,7863.0,1044,True
2020-01-07 09:00:00,7862.5,7863.5,7838.1,7840.0,821,True
2020-01-07 10:00:00,7839.5,7870.3,7839.5,7869.7,557,True
2020-01-07 11:00:00,7870.3,7945.8,7863.9,7872.9,1861,True
2020-01-07 12:00:00,7874.2,7896.3,7826.1,7852.5,3541,True
2020-01-07 13:00:00,7854.2,7854.2,7793.4,7830.1,2808,True
2020-01-07 14:00:00,7830.8,7866.1,7823.1,7830.7,1846,True
2020-01-07 15:00:00,7830.2,7835.4,7732.0,7749.5,2717,True
2020-01-07 16:00:00,7749.0,7925.5,7711.7,7894.8,4238,True
2020-01-07 17:00:00,7894.3,7940.1,7863.7,7924.1,2926,True
2020-01-07 18:00:00,7924.7,8115.5,7905.7,8031.0,5025,True
2020-01-07 19:00:00,8031.7,8099.3,8029.5,8061.5,2959,True
2020-01-07 20:00:00,8060.7,8166.9,8033.9,8154.4,2923,True
2020-01-07 21:00:00,8153.9,8173.0,7992.7,8004.4,5404,True
2020-01-07 22:00:00,8002.5,8048.0,7942.1,8035.3,5737,True
2020-01-07 23:00:00,8034.2,8197.7,8007.0,8140.0,6383,True
2020-01-08 00:00:00,8139.5,8446.2,8135.1,8419.1,9796,True
