time,o,h,l,c,volume,complete,body,upper_wick,lower_wick,total_range,true_range,direction,hour,sessions,daily_high,daily_low,daily_range,rolling_daily_range_20,volatility_20,ATR_20,ATR_14,ATR_50,spread
2015-01-01 23:00:00,1183.371,1187.389,1182.92,1186.728,642,True,3.356999999999971,0.6609999999998308,0.4510000000000218,4.468999999999824,,1.0,23,Closing,1187.389,1182.92,4.468999999999824,,,,,,0.4639999999999418
2015-01-02 00:00:00,1186.681,1188.22,1186.121,1187.366,570,True,0.6849999999999454,0.8540000000000418,0.5599999999999454,2.0989999999999327,2.0989999999999327,1.0,0,asian,1194.854,1166.527,28.327,,,,,,0.4519999999999982
2015-01-02 01:00:00,1187.346,1187.346,1184.27,1184.965,418,True,2.381000000000085,0.0,0.6949999999999363,3.076000000000022,3.076000000000022,-1.0,1,asian,1194.854,1166.527,28.327,,,,,,0.38400000000001455
2015-01-02 02:00:00,1185.008,1185.385,1184.206,1185.028,228,True,0.0199999999999818,0.3569999999999709,0.8020000000001346,1.179000000000087,1.179000000000087,1.0,2,asian,1194.854,1166.527,28.327,,,,,,0.39200000000005275
2015-01-02 03:00:00,1184.986,1186.105,1184.435,1186.105,223,True,1.1189999999999145,0.0,0.5510000000001583,1.6700000000000728,1.6700000000000728,1.0,3,asian,1194.854,1166.527,28.327,,,,,,0.3730000000000473
2015-01-02 04:00:00,1186.155,1187.257,1184.711,1184.711,370,True,1.44399999999996,1.1020000000000891,0.0,2.546000000000049,2.546000000000049,-1.0,4,asian,1194.854,1166.527,28.327,,,,,,0.3509999999998854
2015-01-02 05:00:00,1184.677,1185.937,1184.447,1185.855,182,True,1.178000000000111,0.0819999999998799,0.2300000000000182,1.490000000000009,1.490000000000009,1.0,5,asian,1194.854,1166.527,28.327,,,,,,0.4249999999999545
2015-01-02 06:00:00,1185.837,1187.235,1185.837,1186.766,215,True,0.9290000000000872,0.4689999999998235,0.0,1.3979999999999109,1.3979999999999109,1.0,6,asian,1194.854,1166.527,28.327,,,,,,0.5069999999998345
2015-01-02 07:00:00,1186.819,1186.895,1184.674,1185.856,612,True,0.9629999999999654,0.0760000000000218,1.1820000000000164,2.221000000000004,2.221000000000004,-1.0,7,asian,1194.854,1166.527,28.327,,,,,,0.25
2015-01-02 08:00:00,1185.886,1187.796,1185.886,1186.486,697,True,0.6000000000001364,1.3099999999999454,0.0,1.9100000000000816,1.9400000000000543,1.0,8,asian,1194.854,1166.527,28.327,,,,,,0.45499999999992724
2015-01-02 09:00:00,1186.534,1186.843,1184.783,1186.206,653,True,0.3280000000002019,0.3089999999999691,1.4230000000000018,2.060000000000173,2.060000000000173,-1.0,9,asian/london,1194.854,1166.527,28.327,,,,,,0.3300000000001546
2015-01-02 10:00:00,1186.279,1186.68,1181.251,1182.6,1038,True,3.6790000000000873,0.4010000000000673,1.3489999999999327,5.429000000000087,5.429000000000087,-1.0,10,london,1194.854,1166.527,28.327,,,,,,0.41200000000003456
2015-01-02 11:00:00,1182.667,1183.8,1180.551,1182.686,1292,True,0.0190000000000054,1.1140000000000327,2.115999999999985,3.249000000000024,3.249000000000024,1.0,11,london,1194.854,1166.527,28.327,,,,,,0.3170000000000073
2015-01-02 12:00:00,1182.78,1183.559,1173.084,1177.036,2600,True,5.7439999999999145,0.7789999999999964,3.951999999999998,10.474999999999907,10.474999999999907,-1.0,12,london,1194.854,1166.527,28.327,,,,,,0.31899999999996
2015-01-02 13:00:00,1176.953,1178.093,1166.527,1174.115,4291,True,2.837999999999965,1.1400000000001,7.587999999999965,11.566000000000033,11.566000000000033,-1.0,13,london,1194.854,1166.527,28.327,,,,3.599857142857169,,0.3589999999999236
2015-01-02 14:00:00,1174.105,1174.344,1169.144,1171.429,2868,True,2.675999999999931,0.2390000000000327,2.285000000000082,5.2000000000000455,5.2000000000000455,-1.0,14,london/NY,1194.854,1166.527,28.327,,,,3.821357142857177,,0.6150000000000091
2015-01-02 15:00:00,1171.499,1194.211,1171.357,1187.883,5515,True,16.384000000000015,6.327999999999975,0.1420000000000527,22.85400000000004,22.85400000000004,1.0,15,london/NY,1194.854,1166.527,28.327,,,,5.234071428571464,,0.3969999999999345
2015-01-02 16:00:00,1187.949,1194.854,1187.41,1192.231,3154,True,4.281999999999925,2.6230000000000477,0.5389999999999873,7.44399999999996,7.44399999999996,1.0,16,london/NY,1194.854,1166.527,28.327,,,,5.681571428571455,,0.3630000000000564
2015-01-02 17:00:00,1192.261,1192.753,1185.853,1187.422,1878,True,4.838999999999942,0.4919999999999618,1.56899999999996,6.899999999999864,6.899999999999864,-1.0,17,london/NY,1194.854,1166.527,28.327,,,,6.055142857142869,,0.3609999999998763
2015-01-02 18:00:00,1187.49,1188.827,1182.136,1182.586,1618,True,4.903999999999996,1.336999999999989,0.4500000000000455,6.691000000000031,6.691000000000031,-1.0,18,NY,1194.854,1166.527,28.327,27.13409999999999,5.196300000000008,,6.351214285714296,,0.4110000000000582
2015-01-02 19:00:00,1182.576,1186.386,1182.428,1185.093,989,True,2.5170000000000528,1.292999999999893,0.1479999999999108,3.957999999999856,3.957999999999856,1.0,19,NY,1194.854,1166.527,28.327,28.327,5.17075000000001,5.172250000000008,6.527499999999999,,0.40399999999999636
2015-01-02 20:00:00,1185.13,1187.514,1184.35,1187.386,610,True,2.255999999999858,0.127999999999929,0.7800000000002001,3.1639999999999877,3.1639999999999877,1.0,20,NY,1194.854,1166.527,28.327,28.327,5.224000000000013,5.225500000000011,6.653642857142862,,0.41000000000008185
2015-01-02 21:00:00,1187.434,1189.025,1186.914,1187.638,576,True,0.2039999999999509,1.387000000000171,0.5199999999999818,2.111000000000104,2.111000000000104,1.0,21,NY,1194.854,1166.527,28.327,28.327,5.175750000000017,5.177250000000015,6.645785714285727,,2.2690000000000055
2015-01-04 23:00:00,1188.043,1188.24,1177.321,1183.835,1902,True,4.207999999999856,0.1970000000001164,6.514000000000124,10.919000000000096,10.919000000000096,-1.0,23,Closing,1188.24,1177.321,10.919000000000096,27.4566,5.662750000000017,5.664250000000015,7.287142857142872,,0.5979999999999563
2015-01-05 00:00:00,1183.874,1189.92,1182.812,1189.67,2080,True,5.796000000000049,0.25,1.0620000000001255,7.108000000000175,7.108000000000175,1.0,0,asian,1207.484,1182.812,24.672000000000025,27.273850000000003,5.934650000000022,5.936150000000021,7.647714285714301,,0.45899999999983265
2015-01-05 01:00:00,1189.691,1192.905,1189.645,1191.454,1699,True,1.76299999999992,1.4510000000000218,0.0460000000000491,3.259999999999991,3.259999999999991,1.0,1,asian,1207.484,1182.812,24.672000000000025,27.091100000000004,5.970350000000019,5.971850000000018,7.492785714285723,,0.35799999999994725
2015-01-05 02:00:00,1191.494,1194.263,1190.046,1193.107,920,True,1.6130000000000564,1.155999999999949,1.4479999999998654,4.216999999999871,4.216999999999871,1.0,2,asian,1207.484,1182.812,24.672000000000025,26.90835000000001,6.1067000000000125,6.108200000000011,7.561928571428568,,0.3869999999999436
2015-01-05 03:00:00,1193.164,1193.843,1192.598,1192.91,510,True,0.2539999999999054,0.6790000000000873,0.3120000000001255,1.2450000000001182,1.2450000000001182,-1.0,3,asian,1207.484,1182.812,24.672000000000025,26.725600000000007,6.099050000000022,6.1005500000000215,6.90264285714287,,0.33999999999991815
2015-01-05 04:00:00,1192.876,1192.876,1191.06,1191.694,397,True,1.1820000000000164,0.0,0.6340000000000146,1.816000000000031,1.816000000000031,-1.0,4,asian,1207.484,1182.812,24.672000000000025,26.54285000000001,6.078800000000024,6.080300000000023,6.206214285714298,,0.32999999999992724
2015-01-05 05:00:00,1191.642,1197.704,1191.384,1196.405,947,True,4.76299999999992,1.2989999999999782,0.2580000000000382,6.319999999999936,6.319999999999936,1.0,5,asian,1207.484,1182.812,24.672000000000025,26.36010000000001,6.2993000000000166,6.2993000000000166,6.28621428571429,,0.4760000000001128
2015-01-05 06:00:00,1196.474,1197.005,1194.719,1196.445,834,True,0.0289999999999963,0.5310000000001764,1.7259999999998854,2.286000000000058,2.286000000000058,-1.0,6,asian,1207.484,1182.812,24.672000000000025,26.17735000000001,6.310600000000011,6.310600000000011,4.817071428571434,,0.3910000000000764
2015-01-05 07:00:00,1196.411,1197.593,1195.453,1195.645,882,True,0.7660000000000764,1.1820000000000164,0.1920000000000072,2.1400000000001,2.1400000000001,-1.0,7,asian,1207.484,1182.812,24.672000000000025,25.994600000000013,6.146150000000011,6.146150000000011,4.438214285714301,,0.47299999999995634
2015-01-05 08:00:00,1195.564,1197.14,1193.215,1193.5,848,True,2.064000000000078,1.5760000000000218,0.2850000000000818,3.925000000000182,3.925000000000182,-1.0,8,asian,1207.484,1182.812,24.672000000000025,25.81185000000001,6.179950000000019,6.179950000000019,4.225714285714324,,0.5480000000000018
2015-01-05 09:00:00,1193.523,1195.918,1192.919,1194.367,731,True,0.8440000000000509,1.5509999999999309,0.6039999999998145,2.9989999999997963,2.9989999999997963,1.0,9,asian/london,1207.484,1182.812,24.672000000000025,25.62910000000001,5.806150000000014,5.806150000000014,3.9620000000000215,,0.42000000000007276
2015-01-05 10:00:00,1194.351,1195.029,1187.891,1189.641,1295,True,4.710000000000036,0.6779999999998836,1.75,7.13799999999992,7.13799999999992,-1.0,10,london,1207.484,1182.812,24.672000000000025,25.446350000000017,5.5847500000000085,5.5847500000000085,4.189142857142883,,0.362999999999829
2015-01-05 11:00:00,1189.595,1191.217,1186.819,1188.999,985,True,0.5960000000000036,1.622000000000071,2.180000000000064,4.398000000000138,4.398000000000138,-1.0,11,london,1207.484,1182.812,24.672000000000025,25.263600000000014,5.544650000000013,5.544650000000013,4.277285714285751,,0.3810000000000855
2015-01-05 12:00:00,1188.946,1190.489,1186.651,1189.022,1343,True,0.0760000000000218,1.4670000000000982,2.2949999999998454,3.837999999999965,3.837999999999965,1.0,12,london,1207.484,1182.812,24.672000000000025,25.08085000000002,4.593850000000009,4.593850000000009,4.400642857142884,,0.41399999999998727
2015-01-05 13:00:00,1188.98,1198.235,1186.696,1194.263,4646,True,5.282999999999902,3.97199999999998,2.284000000000105,11.538999999999987,11.538999999999987,1.0,13,london,1207.484,1182.812,24.672000000000025,24.89810000000002,4.79860000000001,4.79860000000001,4.444928571428591,,0.30500000000006366
2015-01-05 14:00:00,1194.351,1200.599,1193.273,1198.938,13691,True,4.586999999999989,1.6609999999998308,1.078000000000202,7.326000000000022,7.326000000000022,1.0,14,london/NY,1207.484,1182.812,24.672000000000025,24.715350000000026,4.819900000000018,4.819900000000018,4.460500000000009,,0.362999999999829
2015-01-05 15:00:00,1198.824,1202.612,1197.264,1198.684,13480,True,0.1400000000001,3.788000000000011,1.4200000000000728,5.348000000000184,5.348000000000184,-1.0,15,london/NY,1207.484,1182.812,24.672000000000025,24.532600000000023,4.752750000000026,4.752750000000026,4.609642857142879,,0.3420000000000982
