,Type,Created_At,impulse_candle_size,created_hour,time,distance,vol_regime,sessions,Hit_At,l,c,o,h,hour_hit,Return,success,Zone_Top,Zone_Bottom,zone_size,atr_14,sessions_num,vol_regime_num
0,Bullish,2015-01-30 15:00:00,0.7419999999999618,15,2015-02-03 14:00:00,95.0,High,london/NY,2015-02-03 14:00:00,1260.78,1264.544,1265.447,1269.716,14,-0.002293096218887886,0,1264.618,1258.608,6.009999999999991,4.971642857142846,4.0,3
1,Bullish,2015-01-29 23:00:00,0.900000000000091,23,2015-02-03 15:00:00,112.0,High,london/NY,2015-02-03 15:00:00,1256.334,1258.586,1264.72,1265.76,15,0.0030539245595516636,1,1257.609,1256.533,1.0760000000000218,5.338142857142835,4.0,3
2,Bullish,2015-02-18 19:00:00,3.490000000000009,19,2015-02-20 18:00:00,47.0,High,NY,2015-02-20 18:00:00,1199.814,1200.437,1206.819,1207.777,18,0.002607855226541702,1,1201.433,1199.007,2.425999999999931,4.1559285714285386,5.0,3
3,Bullish,2015-01-02 15:00:00,4.281999999999925,15,2015-03-06 16:00:00,1513.0,High,london/NY,2015-03-06 16:00:00,1171.329,1171.768,1176.351,1176.446,16,-0.0011683439386078714,0,1174.344,1169.144,5.2000000000000455,4.160285714285692,4.0,3
4,Bullish,2015-03-13 20:00:00,2.180000000000064,20,2015-03-16 11:00:00,63.0,Medium,london,2015-03-16 11:00:00,1155.246,1156.669,1156.95,1157.69,11,-0.0012504240192175342,0,1156.176,1155.04,1.1359999999999673,2.6689999999999663,3.0,2
5,Bullish,2015-03-24 08:00:00,0.1340000000000145,8,2015-03-25 03:00:00,19.0,Low,asian,2015-03-25 03:00:00,1187.368,1188.644,1191.209,1192.071,3,0.007646805063078178,1,1188.751,1187.274,1.4770000000000891,2.270357142857165,1.0,1
6,Bullish,2015-03-26 06:00:00,5.028999999999996,6,2015-03-27 07:00:00,25.0,Low,asian,2015-03-27 07:00:00,1197.849,1198.731,1202.708,1205.283,7,0.0009764932800418026,1,1199.918,1198.46,1.4579999999998563,2.4446428571428345,1.0,1
7,Bullish,2015-04-13 12:00:00,3.724999999999909,12,2015-04-13 23:00:00,11.0,Low,Closing,2015-04-13 23:00:00,1198.359,1199.222,1198.774,1199.251,23,-0.0070404741792296065,0,1200.231,1198.187,2.0440000000000964,2.4271428571428424,,1
8,Bullish,2015-04-23 17:00:00,0.9809999999999944,17,2015-04-24 04:00:00,11.0,Low,asian,2015-04-24 04:00:00,1190.927,1191.302,1191.896,1191.989,4,-0.011171423979980808,0,1192.293,1191.02,1.2729999999999109,1.665285714285736,1.0,1
9,Bullish,2015-05-13 06:00:00,0.7420000000001892,6,2015-05-26 09:00:00,315.0,Medium,asian/london,2015-05-26 09:00:00,1193.089,1194.303,1195.155,1195.632,9,-0.004665500815299646,0,1193.736,1192.503,1.2330000000001746,2.429642857142832,2.0,2
10,Bullish,2015-05-01 19:00:00,0.2940000000000964,19,2015-06-04 14:00:00,811.0,High,london/NY,2015-06-04 14:00:00,1173.555,1175.298,1176.18,1177.27,14,0.00265366237328076,1,1175.5,1174.083,1.4169999999999163,3.2190714285713966,4.0,3
11,Bullish,2015-06-09 04:00:00,0.3249999999998181,4,2015-06-09 21:00:00,17.0,Medium,NY,2015-06-09 21:00:00,1175.548,1176.195,1176.544,1176.544,21,0.007465095479477192,1,1176.063,1175.28,0.7830000000001291,2.4992857142856986,5.0,2
12,Bullish,2015-06-10 04:00:00,1.15300000000002,4,2015-06-11 12:00:00,32.0,Medium,london,2015-06-11 12:00:00,1174.932,1182.774,1179.762,1185.314,12,0.0044750535633607475,1,1176.991,1175.83,1.1610000000000582,2.329571428571448,3.0,2
13,Bullish,2015-06-24 22:00:00,0.1179999999999381,22,2015-06-25 09:00:00,11.0,Low,asian/london,2015-06-25 09:00:00,1174.519,1174.79,1174.752,1176.113,9,-0.0012374978449148086,0,1174.844,1174.251,0.5930000000000746,1.4116428571429,2.0,1
14,Bullish,2015-06-30 15:00:00,2.7170000000000982,15,2015-07-01 12:00:00,21.0,Low,london,2015-07-01 12:00:00,1168.264,1169.98,1172.179,1172.195,12,-0.0016864040296000068,0,1171.821,1169.255,2.5659999999998035,1.686642857142829,3.0,1
15,Bullish,2015-03-18 18:00:00,5.828999999999951,18,2015-07-07 14:00:00,2660.0,High,london/NY,2015-07-07 14:00:00,1147.819,1153.336,1156.218,1157.512,14,0.0032207195283570343,1,1154.691,1149.763,4.928000000000111,3.1046428571428675,4.0,3
16,Bullish,2015-07-09 05:00:00,0.4549999999999272,5,2015-07-09 22:00:00,17.0,High,NY,2015-07-09 22:00:00,1157.293,1158.164,1158.589,1160.866,22,0.004289169383112016,1,1158.418,1157.415,1.002999999999929,2.900428571428571,5.0,3
17,Bullish,2015-08-11 07:00:00,2.6549999999999727,7,2015-09-11 13:00:00,750.0,Medium,london,2015-09-11 13:00:00,1098.618,1100.241,1106.433,1106.765,13,0.005561328718439836,1,1102.476,1097.358,5.1180000000001655,2.4292857142857462,3.0,2
18,Bullish,2015-09-23 11:00:00,1.3250000000000457,11,2015-09-29 06:00:00,139.0,Low,asian,2015-09-29 06:00:00,1125.487,1127.431,1126.146,1128.489,6,0.0045279582431007655,1,1126.118,1125.007,1.1109999999998763,2.080428571428521,1.0,1
19,Bullish,2015-09-16 12:00:00,3.798000000000002,12,2015-10-02 06:00:00,378.0,Low,asian,2015-10-02 06:00:00,1107.767,1110.016,1111.88,1112.001,6,0.02522183154520372,1,1108.75,1107.346,1.4039999999999964,1.4443571428571431,1.0,1
20,Bullish,2015-10-23 18:00:00,1.4800000000000182,18,2015-10-26 07:00:00,61.0,Low,asian,2015-10-26 07:00:00,1162.427,1162.717,1164.479,1164.632,7,0.0013848361090963669,1,1163.68,1162.227,1.4529999999999745,1.9390000000000456,1.0,1
21,Bullish,2015-12-04 13:00:00,10.933999999999967,13,2015-12-11 13:00:00,168.0,High,london,2015-12-11 13:00:00,1061.4,1064.681,1063.678,1069.641,13,0.01186488403038775,1,1062.566,1061.18,1.3859999999999673,3.5216428571428326,3.0,3
22,Bullish,2015-12-03 12:00:00,1.6359999999999673,12,2015-12-17 14:00:00,338.0,High,london/NY,2015-12-17 14:00:00,1049.727,1050.489,1060.17,1061.294,14,0.00504991840535315,1,1051.129,1049.499,1.6299999999998818,3.946928571428576,4.0,3
23,Bullish,2016-01-13 14:00:00,0.7180000000000746,14,2016-01-14 15:00:00,25.0,High,london/NY,2016-01-14 15:00:00,1081.471,1082.402,1088.162,1088.839,15,-0.0017412672006184248,0,1082.908,1080.459,2.4489999999998417,3.572928571428601,4.0,3
24,Bullish,2016-01-04 13:00:00,1.5049999999998818,13,2016-01-14 18:00:00,245.0,High,NY,2016-01-14 18:00:00,1071.341,1073.041,1077.838,1077.94,18,0.007822669371075517,1,1073.023,1071.13,1.8929999999998017,4.157785714285751,5.0,3
25,Bullish,2016-01-05 00:00:00,0.4250000000001819,0,2016-01-14 18:00:00,234.0,High,NY,2016-01-14 18:00:00,1071.341,1073.041,1077.838,1077.94,18,0.006633949554778641,1,1073.806,1072.879,0.9270000000001346,4.157785714285751,5.0,3
26,Bullish,2016-02-12 05:00:00,5.731999999999971,5,2016-02-12 16:00:00,11.0,High,london/NY,2016-02-12 16:00:00,1232.996,1237.258,1237.799,1238.341,16,-0.010594885577100309,0,1234.442,1232.503,1.9390000000000782,5.906499999999986,4.0,3
