time,o,h,l,c,volume,complete
2015-01-01 23:00:00,1183.371,1187.389,1182.92,1186.728,642,True
2015-01-02 00:00:00,1186.681,1188.22,1186.121,1187.366,570,True
2015-01-02 01:00:00,1187.346,1187.346,1184.27,1184.965,418,True
2015-01-02 02:00:00,1185.008,1185.385,1184.206,1185.028,228,True
2015-01-02 03:00:00,1184.986,1186.105,1184.435,1186.105,223,True
2015-01-02 04:00:00,1186.155,1187.257,1184.711,1184.711,370,True
2015-01-02 05:00:00,1184.677,1185.937,1184.447,1185.855,182,True
2015-01-02 06:00:00,1185.837,1187.235,1185.837,1186.766,215,True
2015-01-02 07:00:00,1186.819,1186.895,1184.674,1185.856,612,True
2015-01-02 08:00:00,1185.886,1187.796,1185.886,1186.486,697,True
2015-01-02 09:00:00,1186.534,1186.843,1184.783,1186.206,653,True
2015-01-02 10:00:00,1186.279,1186.68,1181.251,1182.6,1038,True
2015-01-02 11:00:00,1182.667,1183.8,1180.551,1182.686,1292,True
2015-01-02 12:00:00,1182.78,1183.559,1173.084,1177.036,2600,True
2015-01-02 13:00:00,1176.953,1178.093,1166.527,1174.115,4291,True
2015-01-02 14:00:00,1174.105,1174.344,1169.144,1171.429,2868,True
2015-01-02 15:00:00,1171.499,1194.211,1171.357,1187.883,5515,True
2015-01-02 16:00:00,1187.949,1194.854,1187.41,1192.231,3154,True
2015-01-02 17:00:00,1192.261,1192.753,1185.853,1187.422,1878,True
2015-01-02 18:00:00,1187.49,1188.827,1182.136,1182.586,1618,True
2015-01-02 19:00:00,1182.576,1186.386,1182.428,1185.093,989,True
2015-01-02 20:00:00,1185.13,1187.514,1184.35,1187.386,610,True
2015-01-02 21:00:00,1187.434,1189.025,1186.914,1187.638,576,True
2015-01-04 23:00:00,1188.043,1188.24,1177.321,1183.835,1902,True
2015-01-05 00:00:00,1183.874,1189.92,1182.812,1189.67,2080,True
2015-01-05 01:00:00,1189.691,1192.905,1189.645,1191.454,1699,True
2015-01-05 02:00:00,1191.494,1194.263,1190.046,1193.107,920,True
2015-01-05 03:00:00,1193.164,1193.843,1192.598,1192.91,510,True
2015-01-05 04:00:00,1192.876,1192.876,1191.06,1191.694,397,True
2015-01-05 05:00:00,1191.642,1197.704,1191.384,1196.405,947,True
2015-01-05 06:00:00,1196.474,1197.005,1194.719,1196.445,834,True
2015-01-05 07:00:00,1196.411,1197.593,1195.453,1195.645,882,True
2015-01-05 08:00:00,1195.564,1197.14,1193.215,1193.5,848,True
2015-01-05 09:00:00,1193.523,1195.918,1192.919,1194.367,731,True
2015-01-05 10:00:00,1194.351,1195.029,1187.891,1189.641,1295,True
2015-01-05 11:00:00,1189.595,1191.217,1186.819,1188.999,985,True
2015-01-05 12:00:00,1188.946,1190.489,1186.651,1189.022,1343,True
2015-01-05 13:00:00,1188.98,1198.235,1186.696,1194.263,4646,True
2015-01-05 14:00:00,1194.351,1200.599,1193.273,1198.938,13691,True
2015-01-05 15:00:00,1198.824,1202.612,1197.264,1198.684,13480,True
2015-01-05 16:00:00,1198.606,1198.915,1194.395,1196.436,5416,True
2015-01-05 17:00:00,1196.521,1201.396,1195.826,1200.868,3942,True
2015-01-05 18:00:00,1200.784,1204.4,1199.664,1202.611,6311,True
2015-01-05 19:00:00,1202.642,1204.452,1201.919,1203.876,2276,True
2015-01-05 20:00:00,1203.78,1207.484,1203.446,1205.78,3004,True
2015-01-05 21:00:00,1205.894,1206.433,1203.401,1204.17,1661,True
2015-01-05 22:00:00,1203.915,1204.882,1203.233,1204.183,51,True
2015-01-05 23:00:00,1204.183,1204.877,1200.753,1203.233,1696,True
2015-01-06 00:00:00,1203.123,1203.69,1201.621,1203.179,1755,True
2015-01-06 01:00:00,1203.271,1204.686,1202.44,1204.103,2855,True
2015-01-06 02:00:00,1204.197,1205.339,1203.971,1204.788,1351,True
2015-01-06 03:00:00,1204.877,1205.819,1204.502,1205.649,1045,True
2015-01-06 04:00:00,1205.554,1208.129,1205.459,1206.581,1107,True
2015-01-06 05:00:00,1206.582,1207.279,1205.236,1206.021,1001,True
2015-01-06 06:00:00,1206.021,1210.498,1206.005,1208.314,6251,True
2015-01-06 07:00:00,1208.43,1211.864,1208.293,1208.626,5542,True
2015-01-06 08:00:00,1208.721,1212.261,1206.512,1211.673,6577,True
2015-01-06 09:00:00,1211.727,1214.254,1210.444,1213.272,6963,True
2015-01-06 10:00:00,1213.171,1213.446,1210.321,1210.938,3894,True
2015-01-06 11:00:00,1210.836,1211.865,1208.757,1210.005,3617,True
2015-01-06 12:00:00,1210.061,1211.144,1207.791,1210.075,3734,True
2015-01-06 13:00:00,1210.182,1214.032,1208.597,1210.57,8037,True
2015-01-06 14:00:00,1210.464,1211.59,1208.102,1209.856,5516,True
2015-01-06 15:00:00,1209.858,1213.278,1205.295,1208.859,12461,True
2015-01-06 16:00:00,1208.76,1223.068,1207.089,1219.623,25424,True
2015-01-06 17:00:00,1219.501,1221.326,1215.613,1216.97,14142,True
2015-01-06 18:00:00,1217.051,1220.875,1216.61,1216.905,7134,True
2015-01-06 19:00:00,1216.814,1217.924,1214.272,1217.284,4255,True
2015-01-06 20:00:00,1217.272,1219.325,1217.236,1218.862,2860,True
2015-01-06 21:00:00,1218.957,1219.783,1217.693,1218.245,862,True
2015-01-06 22:00:00,1218.081,1218.316,1217.564,1217.795,39,True
2015-01-06 23:00:00,1218.425,1218.66,1215.927,1216.075,1965,True
2015-01-07 00:00:00,1216.175,1218.593,1215.056,1218.048,2155,True
2015-01-07 01:00:00,1217.933,1218.128,1215.817,1217.142,2062,True
2015-01-07 02:00:00,1217.127,1217.717,1216.264,1216.609,1873,True
2015-01-07 03:00:00,1216.539,1217.243,1214.006,1214.092,1536,True
2015-01-07 04:00:00,1214.194,1215.415,1214.078,1215.101,950,True
2015-01-07 05:00:00,1215.103,1215.103,1211.915,1213.526,2854,True
2015-01-07 06:00:00,1213.613,1215.047,1213.285,1213.669,2721,True
2015-01-07 07:00:00,1213.569,1214.457,1212.209,1214.054,2916,True
2015-01-07 08:00:00,1214.039,1216.397,1213.53,1214.728,4639,True
2015-01-07 09:00:00,1214.61,1217.893,1214.583,1217.044,4058,True
2015-01-07 10:00:00,1216.904,1218.24,1212.521,1213.162,5977,True
2015-01-07 11:00:00,1213.037,1214.863,1210.894,1213.422,4374,True
2015-01-07 12:00:00,1213.32,1214.053,1211.787,1212.726,3540,True
2015-01-07 13:00:00,1212.629,1213.44,1207.833,1212.298,13419,True
2015-01-07 14:00:00,1212.229,1214.007,1210.879,1212.264,6596,True
2015-01-07 15:00:00,1212.178,1216.394,1210.545,1214.454,9895,True
2015-01-07 16:00:00,1214.342,1216.213,1211.105,1212.031,7013,True
2015-01-07 17:00:00,1212.127,1214.008,1210.967,1213.515,2358,True
2015-01-07 18:00:00,1213.421,1213.426,1209.906,1210.639,4784,True
2015-01-07 19:00:00,1210.83,1216.49,1209.269,1215.672,13893,True
2015-01-07 20:00:00,1215.572,1216.66,1211.883,1212.179,3272,True
2015-01-07 21:00:00,1212.267,1213.452,1209.713,1211.02,1403,True
2015-01-07 22:00:00,1210.334,1211.106,1210.181,1210.572,47,True
2015-01-07 23:00:00,1210.706,1212.702,1210.281,1212.314,1178,True
2015-01-08 00:00:00,1212.187,1213.817,1212.114,1212.535,799,True
2015-01-08 01:00:00,1212.623,1214.167,1211.922,1212.162,1871,True
2015-01-08 02:00:00,1212.27,1212.492,1209.524,1210.169,1708,True
2015-01-08 03:00:00,1210.259,1210.588,1206.397,1207.393,2545,True
2015-01-08 04:00:00,1207.389,1207.455,1204.733,1207.268,2465,True
