time,c
2024-01-01 22:00:00,1.10438
2024-01-01 23:00:00,1.10359
2024-01-02 00:00:00,1.10375
2024-01-02 01:00:00,1.10343
2024-01-02 02:00:00,1.10181
2024-01-02 03:00:00,1.10239
2024-01-02 04:00:00,1.10203
2024-01-02 05:00:00,1.10328
2024-01-02 06:00:00,1.1028
2024-01-02 07:00:00,1.10146
2024-01-02 08:00:00,1.1029
2024-01-02 09:00:00,1.10146
2024-01-02 10:00:00,1.10068
2024-01-02 11:00:00,1.09685
2024-01-02 12:00:00,1.09532
2024-01-02 13:00:00,1.09521
2024-01-02 14:00:00,1.09624
2024-01-02 15:00:00,1.0943
2024-01-02 16:00:00,1.09557
2024-01-02 17:00:00,1.09498
2024-01-02 18:00:00,1.0946
2024-01-02 19:00:00,1.0946
2024-01-02 20:00:00,1.09426
2024-01-02 21:00:00,1.09399
2024-01-02 22:00:00,1.09398
2024-01-02 23:00:00,1.09408
2024-01-03 00:00:00,1.09487
2024-01-03 01:00:00,1.09507
2024-01-03 02:00:00,1.09516
2024-01-03 03:00:00,1.09602
2024-01-03 04:00:00,1.09617
2024-01-03 05:00:00,1.09506
2024-01-03 06:00:00,1.09582
2024-01-03 07:00:00,1.09597
2024-01-03 08:00:00,1.09519
2024-01-03 09:00:00,1.09356
2024-01-03 10:00:00,1.09273
2024-01-03 11:00:00,1.09188
2024-01-03 12:00:00,1.09161
2024-01-03 13:00:00,1.09209
2024-01-03 14:00:00,1.0915
2024-01-03 15:00:00,1.0904
2024-01-03 16:00:00,1.09074
2024-01-03 17:00:00,1.09061
2024-01-03 18:00:00,1.09054
2024-01-03 19:00:00,1.09169
2024-01-03 20:00:00,1.09207
2024-01-03 21:00:00,1.09213
2024-01-03 22:00:00,1.09205
2024-01-03 23:00:00,1.09253
2024-01-04 00:00:00,1.09219
2024-01-04 01:00:00,1.09172
2024-01-04 02:00:00,1.09187
2024-01-04 03:00:00,1.09256
2024-01-04 04:00:00,1.09254
2024-01-04 05:00:00,1.09258
2024-01-04 06:00:00,1.09318
2024-01-04 07:00:00,1.09368
2024-01-04 08:00:00,1.09526
2024-01-04 09:00:00,1.09668
2024-01-04 10:00:00,1.09549
2024-01-04 11:00:00,1.09471
2024-01-04 12:00:00,1.09516
2024-01-04 13:00:00,1.09464
2024-01-04 14:00:00,1.09449
2024-01-04 15:00:00,1.09546
2024-01-04 16:00:00,1.09553
2024-01-04 17:00:00,1.09498
2024-01-04 18:00:00,1.09462
2024-01-04 19:00:00,1.09462
2024-01-04 20:00:00,1.09487
2024-01-04 21:00:00,1.09441
2024-01-04 22:00:00,1.09465
2024-01-04 23:00:00,1.09455
2024-01-05 00:00:00,1.09502
2024-01-05 01:00:00,1.0951
2024-01-05 02:00:00,1.09461
2024-01-05 03:00:00,1.09385
2024-01-05 04:00:00,1.09366
2024-01-05 05:00:00,1.09367
2024-01-05 06:00:00,1.09271
2024-01-05 07:00:00,1.09225
2024-01-05 08:00:00,1.09071
2024-01-05 09:00:00,1.09119
2024-01-05 10:00:00,1.09121
2024-01-05 11:00:00,1.09134
2024-01-05 12:00:00,1.0917
2024-01-05 13:00:00,1.09204
2024-01-05 14:00:00,1.09486
2024-01-05 15:00:00,1.09776
2024-01-05 16:00:00,1.09555
2024-01-05 17:00:00,1.09455
2024-01-05 18:00:00,1.09534
2024-01-05 19:00:00,1.09446
2024-01-05 20:00:00,1.09386
2024-01-05 21:00:00,1.09406
2024-01-07 22:00:00,1.09436
2024-01-07 23:00:00,1.0941
2024-01-08 00:00:00,1.0948
2024-01-08 01:00:00,1.09473
2024-01-08 02:00:00,1.09365
2024-01-08 03:00:00,1.09323
2024-01-08 04:00:00,1.09333
2024-01-08 05:00:00,1.09367
2024-01-08 06:00:00,1.09451
2024-01-08 07:00:00,1.09446
2024-01-08 08:00:00,1.09331
2024-01-08 09:00:00,1.09365
2024-01-08 10:00:00,1.09417
2024-01-08 11:00:00,1.09373
2024-01-08 12:00:00,1.09441
2024-01-08 13:00:00,1.09502
2024-01-08 14:00:00,1.09595
2024-01-08 15:00:00,1.09691
2024-01-08 16:00:00,1.09748
2024-01-08 17:00:00,1.0964
2024-01-08 18:00:00,1.09548
2024-01-08 19:00:00,1.09603
2024-01-08 20:00:00,1.09539
2024-01-08 21:00:00,1.09497
2024-01-08 22:00:00,1.09494
2024-01-08 23:00:00,1.09489
2024-01-09 00:00:00,1.09545
2024-01-09 01:00:00,1.09609
2024-01-09 02:00:00,1.0962
2024-01-09 03:00:00,1.09622
2024-01-09 04:00:00,1.09556
2024-01-09 05:00:00,1.09489
2024-01-09 06:00:00,1.09497
2024-01-09 07:00:00,1.0956
2024-01-09 08:00:00,1.09491
2024-01-09 09:00:00,1.09434
2024-01-09 10:00:00,1.09348
2024-01-09 11:00:00,1.09306
2024-01-09 12:00:00,1.09399
2024-01-09 13:00:00,1.09454
2024-01-09 14:00:00,1.09449
2024-01-09 15:00:00,1.09173
2024-01-09 16:00:00,1.09336
2024-01-09 17:00:00,1.09335
2024-01-09 18:00:00,1.09235
2024-01-09 19:00:00,1.09247
2024-01-09 20:00:00,1.09273
2024-01-09 21:00:00,1.09305
2024-01-09 22:00:00,1.09283
2024-01-09 23:00:00,1.0931
2024-01-10 00:00:00,1.09302
2024-01-10 01:00:00,1.09313
2024-01-10 02:00:00,1.09329
2024-01-10 03:00:00,1.09285
2024-01-10 04:00:00,1.09314
2024-01-10 05:00:00,1.09317
2024-01-10 06:00:00,1.09239
2024-01-10 07:00:00,1.09256
2024-01-10 08:00:00,1.09426
2024-01-10 09:00:00,1.09465
2024-01-10 10:00:00,1.09484
2024-01-10 11:00:00,1.09452
2024-01-10 12:00:00,1.09431
2024-01-10 13:00:00,1.094
2024-01-10 14:00:00,1.09392
2024-01-10 15:00:00,1.09667
2024-01-10 16:00:00,1.09584
2024-01-10 17:00:00,1.09666
2024-01-10 18:00:00,1.09688
2024-01-10 19:00:00,1.09695
2024-01-10 20:00:00,1.09649
2024-01-10 21:00:00,1.09719
2024-01-10 22:00:00,1.09719
2024-01-10 23:00:00,1.09733
2024-01-11 00:00:00,1.09772
2024-01-11 01:00:00,1.09783
2024-01-11 02:00:00,1.09774
2024-01-11 03:00:00,1.09796
2024-01-11 04:00:00,1.09771
2024-01-11 05:00:00,1.09776
2024-01-11 06:00:00,1.09851
2024-01-11 07:00:00,1.09782
2024-01-11 08:00:00,1.09743
2024-01-11 09:00:00,1.0963
2024-01-11 10:00:00,1.09683
2024-01-11 11:00:00,1.0978
2024-01-11 12:00:00,1.0983
2024-01-11 13:00:00,1.09388
2024-01-11 14:00:00,1.09534
2024-01-11 15:00:00,1.09457
2024-01-11 16:00:00,1.09418
2024-01-11 17:00:00,1.09502
2024-01-11 18:00:00,1.09641
2024-01-11 19:00:00,1.09812
2024-01-11 20:00:00,1.09708
2024-01-11 21:00:00,1.09727
2024-01-11 22:00:00,1.09719
2024-01-11 23:00:00,1.09816
2024-01-12 00:00:00,1.0975
2024-01-12 01:00:00,1.0982
2024-01-12 02:00:00,1.09788
2024-01-12 03:00:00,1.09771
2024-01-12 04:00:00,1.09749
2024-01-12 05:00:00,1.09747
2024-01-12 06:00:00,1.09746
2024-01-12 07:00:00,1.09661
2024-01-12 08:00:00,1.09744
2024-01-12 09:00:00,1.09618
2024-01-12 10:00:00,1.09591
2024-01-12 11:00:00,1.09489
2024-01-12 12:00:00,1.09371
2024-01-12 13:00:00,1.09547
2024-01-12 14:00:00,1.09748
2024-01-12 15:00:00,1.09657
2024-01-12 16:00:00,1.09575
2024-01-12 17:00:00,1.09489
2024-01-12 18:00:00,1.09588
2024-01-12 19:00:00,1.09553
2024-01-12 20:00:00,1.09505
2024-01-12 21:00:00,1.09495
2024-01-14 22:00:00,1.0948
2024-01-14 23:00:00,1.09443
2024-01-15 00:00:00,1.09527
2024-01-15 01:00:00,1.09542
2024-01-15 02:00:00,1.09641
2024-01-15 03:00:00,1.09635
2024-01-15 04:00:00,1.09622
2024-01-15 05:00:00,1.09634
2024-01-15 06:00:00,1.09632
2024-01-15 07:00:00,1.09527
2024-01-15 08:00:00,1.09574
2024-01-15 09:00:00,1.0946
2024-01-15 10:00:00,1.09395
2024-01-15 11:00:00,1.09447
2024-01-15 12:00:00,1.09531
2024-01-15 13:00:00,1.09498
2024-01-15 14:00:00,1.09427
2024-01-15 15:00:00,1.09491
2024-01-15 16:00:00,1.09466
2024-01-15 17:00:00,1.09474
2024-01-15 18:00:00,1.09521
2024-01-15 19:00:00,1.09497
2024-01-15 20:00:00,1.09511
2024-01-15 21:00:00,1.09495
2024-01-15 22:00:00,1.09487
2024-01-15 23:00:00,1.09442
2024-01-16 00:00:00,1.0919
2024-01-16 01:00:00,1.0927
2024-01-16 02:00:00,1.09231
2024-01-16 03:00:00,1.09182
2024-01-16 04:00:00,1.09169
2024-01-16 05:00:00,1.09146
2024-01-16 06:00:00,1.09167
2024-01-16 07:00:00,1.09178
2024-01-16 08:00:00,1.09041
2024-01-16 09:00:00,1.08854
2024-01-16 10:00:00,1.08805
2024-01-16 11:00:00,1.08917
2024-01-16 12:00:00,1.08856
2024-01-16 13:00:00,1.08735
2024-01-16 14:00:00,1.08717
2024-01-16 15:00:00,1.0885
2024-01-16 16:00:00,1.08804
2024-01-16 17:00:00,1.08624
2024-01-16 18:00:00,1.08692
2024-01-16 19:00:00,1.08731
2024-01-16 20:00:00,1.08708
2024-01-16 21:00:00,1.08747
2024-01-16 22:00:00,1.08744
2024-01-16 23:00:00,1.0878
2024-01-17 00:00:00,1.0877
2024-01-17 01:00:00,1.08765
2024-01-17 02:00:00,1.08741
2024-01-17 03:00:00,1.08656
2024-01-17 04:00:00,1.08702
2024-01-17 05:00:00,1.0864
2024-01-17 06:00:00,1.08617
2024-01-17 07:00:00,1.08694
2024-01-17 08:00:00,1.0866
2024-01-17 09:00:00,1.08761
2024-01-17 10:00:00,1.08712
2024-01-17 11:00:00,1.08779
2024-01-17 12:00:00,1.08736
2024-01-17 13:00:00,1.08633
2024-01-17 14:00:00,1.08482
2024-01-17 15:00:00,1.08485
2024-01-17 16:00:00,1.08566
2024-01-17 17:00:00,1.08664
2024-01-17 18:00:00,1.08651
2024-01-17 19:00:00,1.08731
2024-01-17 20:00:00,1.08804
2024-01-17 21:00:00,1.08813
2024-01-17 22:00:00,1.08812
2024-01-17 23:00:00,1.08853
2024-01-18 00:00:00,1.08932
2024-01-18 01:00:00,1.08953
2024-01-18 02:00:00,1.08927
2024-01-18 03:00:00,1.08948
2024-01-18 04:00:00,1.08936
2024-01-18 05:00:00,1.08942
2024-01-18 06:00:00,1.09033
2024-01-18 07:00:00,1.08874
2024-01-18 08:00:00,1.08793
2024-01-18 09:00:00,1.0884
2024-01-18 10:00:00,1.08942
2024-01-18 11:00:00,1.08884
2024-01-18 12:00:00,1.08768
2024-01-18 13:00:00,1.08519
2024-01-18 14:00:00,1.0859
2024-01-18 15:00:00,1.08514
2024-01-18 16:00:00,1.08612
2024-01-18 17:00:00,1.0859
2024-01-18 18:00:00,1.08631
2024-01-18 19:00:00,1.08612
2024-01-18 20:00:00,1.08684
2024-01-18 21:00:00,1.08754
2024-01-18 22:00:00,1.08728
2024-01-18 23:00:00,1.08794
2024-01-19 00:00:00,1.08793
2024-01-19 01:00:00,1.08848
2024-01-19 02:00:00,1.08874
2024-01-19 03:00:00,1.08883
2024-01-19 04:00:00,1.08857
2024-01-19 05:00:00,1.08802
2024-01-19 06:00:00,1.08803
2024-01-19 07:00:00,1.08787
2024-01-19 08:00:00,1.08766
2024-01-19 09:00:00,1.08823
2024-01-19 10:00:00,1.08803
2024-01-19 11:00:00,1.08867
2024-01-19 12:00:00,1.08818
2024-01-19 13:00:00,1.088
2024-01-19 14:00:00,1.08796
2024-01-19 15:00:00,1.08819
2024-01-19 16:00:00,1.08858
2024-01-19 17:00:00,1.0889
2024-01-19 18:00:00,1.08914
2024-01-19 19:00:00,1.08917
2024-01-19 20:00:00,1.08944
2024-01-19 21:00:00,1.08966
2024-01-21 22:00:00,1.08906
2024-01-21 23:00:00,1.08913
2024-01-22 00:00:00,1.09005
2024-01-22 01:00:00,1.09012
2024-01-22 02:00:00,1.09066
2024-01-22 03:00:00,1.09014
2024-01-22 04:00:00,1.09023
2024-01-22 05:00:00,1.09009
2024-01-22 06:00:00,1.09041
2024-01-22 07:00:00,1.0897
2024-01-22 08:00:00,1.08912
2024-01-22 09:00:00,1.08962
2024-01-22 10:00:00,1.08859
2024-01-22 11:00:00,1.08895
2024-01-22 12:00:00,1.08921
2024-01-22 13:00:00,1.08909
2024-01-22 14:00:00,1.08891
2024-01-22 15:00:00,1.08846
2024-01-22 16:00:00,1.08932
2024-01-22 17:00:00,1.08955
2024-01-22 18:00:00,1.08894
2024-01-22 19:00:00,1.08841
2024-01-22 20:00:00,1.08836
2024-01-22 21:00:00,1.08818
2024-01-22 22:00:00,1.08814
2024-01-22 23:00:00,1.08766
2024-01-23 00:00:00,1.08824
2024-01-23 01:00:00,1.08877
2024-01-23 02:00:00,1.08868
2024-01-23 03:00:00,1.0892
2024-01-23 04:00:00,1.08978
2024-01-23 05:00:00,1.09062
2024-01-23 06:00:00,1.09134
2024-01-23 07:00:00,1.09075
2024-01-23 08:00:00,1.08944
2024-01-23 09:00:00,1.08869
2024-01-23 10:00:00,1.08687
2024-01-23 11:00:00,1.08658
2024-01-23 12:00:00,1.08631
2024-01-23 13:00:00,1.08733
2024-01-23 14:00:00,1.08519
2024-01-23 15:00:00,1.08301
2024-01-23 16:00:00,1.08274
2024-01-23 17:00:00,1.08307
2024-01-23 18:00:00,1.08363
2024-01-23 19:00:00,1.08445
2024-01-23 20:00:00,1.08491
2024-01-23 21:00:00,1.08528
2024-01-23 22:00:00,1.08528
2024-01-23 23:00:00,1.08566
2024-01-24 00:00:00,1.08552
2024-01-24 01:00:00,1.08574
2024-01-24 02:00:00,1.08563
2024-01-24 03:00:00,1.08582
2024-01-24 04:00:00,1.08639
2024-01-24 05:00:00,1.08613
2024-01-24 06:00:00,1.08627
2024-01-24 07:00:00,1.08726
2024-01-24 08:00:00,1.08691
2024-01-24 09:00:00,1.09019
2024-01-24 10:00:00,1.0897
2024-01-24 11:00:00,1.08921
2024-01-24 12:00:00,1.0894
2024-01-24 13:00:00,1.09242
2024-01-24 14:00:00,1.09027
2024-01-24 15:00:00,1.09002
2024-01-24 16:00:00,1.08997
2024-01-24 17:00:00,1.09046
2024-01-24 18:00:00,1.08919
2024-01-24 19:00:00,1.08877
2024-01-24 20:00:00,1.08793
2024-01-24 21:00:00,1.08833
2024-01-24 22:00:00,1.08844
2024-01-24 23:00:00,1.08805
2024-01-25 00:00:00,1.08736
